locus_tag	gene_name	old_locus_tag	prokka_locus_tag	synonyms	start	end	strand	gene_product	gene_product_prokka	COG	uniprot	refseq
SACI_RS02275	Saci_0472	Saci_0472	Sacid_00463		395689.0	397623.0	+	ATP-binding protein	hypothetical protein	Lipid transport and metabolism	Q4JBF1	NC_007181.1
SACI_RS02280	Saci_0473	Saci_0473	Sacid_00464		397638.0	399005.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H3J6	NC_007181.1
SACI_RS02285	Saci_0474	Saci_0474	Sacid_00465		399028.0	399954.0	-	phosphoadenosine phosphosulfate reductase family protein	hypothetical protein	Energy production and conversion	A0A0U3HLU9	NC_007181.1
SACI_RS02290	Saci_0475	Saci_0475	Sacid_00466		399956.0	400609.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3GG93	NC_007181.1
SACI_RS02295	SACI_RS02295		Sacid_00467		400738.0	400947.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FFD0	NC_007181.1
SACI_RS02300	Saci_0476	Saci_0476	Sacid_00468		400929.0	401072.0	-	"ribbon-helix-helix protein, CopG family"	hypothetical protein	Function unknown	UPI0002B25AF9	NC_007181.1
SACI_RS02305	Saci_0477	Saci_0477	Sacid_00469		401100.0	401420.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FNZ8	NC_007181.1
SACI_RS02310	Saci_0478	Saci_0478	Sacid_00470		401417.0	401848.0	-	XRE family HTH transcriptional regulator (xenobiotic response element)	hypothetical protein	No COG annotation	A0A0U2WSV4	NC_007181.1
SACI_RS02315	Saci_0479	Saci_0479	Sacid_00472		402058.0	402366.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y0S7	NC_007181.1
SACI_RS02320	Saci_0480	Saci_0480	Sacid_00473		402468.0	402758.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2NCG0	NC_007181.1
SACI_RS02325	Saci_0481	Saci_0481	Sacid_00474		402755.0	403321.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GNN5	NC_007181.1
SACI_RS02330	Saci_0482	Saci_0482	Sacid_00475		403917.0	404216.0	+	winged helix-turn-helix transcriptional regulator	hypothetical protein	Transcription	A0A0U3H2M7	NC_007181.1
SACI_RS02335	Saci_0483	Saci_0483	Sacid_00476		404226.0	404513.0	-	"MarR family HTH transcriptional regulator, winged helix-turn-helix transcriptional regulator"	hypothetical protein	No COG annotation	A0A0U3FN19	NC_007181.1
SACI_RS02340	Saci_0484	Saci_0484	Sacid_00477		404875.0	405324.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2X0E9	NC_007181.1
SACI_RS11795	Saci_0485	Saci_0485	Sacid_00478		405327.0	405494.0	-	hypothetical protein	hypothetical protein	No COG annotation	UPI00005522B2	NC_007181.1
SACI_RS02345	Saci_0486	Saci_0486	Sacid_00479		405583.0	405888.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y8L6	NC_007181.1
SACI_RS02350	Saci_0487	Saci_0487	Sacid_00480		405920.0	407224.0	+	transposase	IS200/IS605 family transposase ISSto1	"Replication, recombination and repair"	A0A0U3FFS7	NC_007181.1
SACI_RS02355	Saci_0488	Saci_0488	Sacid_00481		407221.0	407430.0	-	MarR family transcriptional regulator	hypothetical protein	No COG annotation	A0A0U3HAA2	NC_007181.1
SACI_RS02360	Saci_0489	Saci_0489	Sacid_00482		407482.0	407775.0	-	MarR family transcriptional regulator	hypothetical protein	No COG annotation	A0A0U3FW13	NC_007181.1
SACI_RS02365	Saci_0490	Saci_0490	Sacid_00483		407848.0	408144.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2NF98	NC_007181.1
SACI_RS02370	Saci_0491	Saci_0491	Sacid_00484		408515.0	409345.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HLT3	NC_007181.1
SACI_RS02375	Saci_0492	Saci_0492	Sacid_00485		409591.0	410127.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FN65	NC_007181.1
SACI_RS02380	Saci_0493	Saci_0493	Sacid_00486		410152.0	410490.0	-	hypothetical protein	hypothetical protein	No COG annotation	UPI0002B26BC5	NC_007181.1
SACI_RS02385	Saci_0494	Saci_0494	Sacid_00487		411379.0	412086.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2VVM8	NC_007181.1
SACI_RS02390	Saci_0495	Saci_0495	Sacid_00488		412079.0	412927.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GUC3	NC_007181.1
SACI_RS02395	Saci_0496	Saci_0496	Sacid_00490		413083.0	413667.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HB95	NC_007181.1
SACI_RS02400	Saci_0497	Saci_0497	Sacid_00491		413893.0	414747.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y0S1	NC_007181.1
SACI_RS02405	Saci_0498	Saci_0498	Sacid_00492		414882.0	415328.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H2I4	NC_007181.1
SACI_RS02410	Saci_0500	Saci_0500	Sacid_00494		415699.0	416682.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GNL9	NC_007181.1
SACI_RS02415	Saci_0501	Saci_0501	Sacid_00495		416669.0	417130.0	-	conjugal transfer protein	hypothetical protein	No COG annotation	M1I2F7	NC_007181.1
SACI_RS02420	Saci_0503	Saci_0503	Sacid_00497		417681.0	417860.0	+	hypothetical protein	hypothetical protein	"Replication, recombination and repair"	A0A0U3FN09	NC_007181.1
SACI_RS02425	Saci_0504	Saci_0504	Sacid_00498		417900.0	418895.0	+	transposase	IS200/IS605 family transposase ISSis2	"Replication, recombination and repair"	M1ITB6	NC_007181.1
SACI_RS02430	SACI_RS02430				418892.0	419104.0	-	hypothetical protein		"Replication, recombination and repair"	A0A0U2X0D2	NC_007181.1
SACI_RS02435	Saci_0505	Saci_0505	Sacid_00499		419327.0	419875.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2W740	NC_007181.1
SACI_RS02440	Saci_0506	Saci_0506	Sacid_00500		419872.0	420159.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FFQ9	NC_007181.1
SACI_RS11495	Saci_0507	Saci_0507	Sacid_00501		420271.0	420777.0	+	hypothetical protein	hypothetical protein	No COG annotation	UPI0011BEF369	NC_007181.1
SACI_RS02455	Saci_0510	Saci_0510	Sacid_00503		421091.0	421513.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GLC2	NC_007181.1
SACI_RS02465	Saci_0512	Saci_0512	Sacid_00505		422019.0	422438.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HLS3	NC_007181.1
SACI_RS02470	Saci_0513	Saci_0513	Sacid_00506		422475.0	423938.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FN56	NC_007181.1
SACI_RS02475	SACI_RS02475		"Sacid_00507, Sacid_00508"		423985.0	425845.0	+	DUF87 domain-containing protein	hypothetical protein	No COG annotation		NC_007181.1
SACI_RS11530	Saci_0516	Saci_0516	Sacid_00509		425847.0	426110.0	+	hypothetical protein	hypothetical protein	No COG annotation	Q4JBA9	NC_007181.1
SACI_RS02480	Saci_0517	Saci_0517	Sacid_00510		426068.0	426739.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2VVL2	NC_007181.1
SACI_RS11535	SACI_RS11535		Sacid_00511		426819.0	427622.0	-	integrase	hypothetical protein	Function unknown	UPI0002B29D24	NC_007181.1
SACI_RS02495	Saci_0520	Saci_0520	Sacid_00513		428113.0	429474.0	-	ATP-binding protein	hypothetical protein	Transcription	A0A0U3FNX0	NC_007181.1
SACI_RS02510	Saci_0523	Saci_0523	Sacid_00516		431631.0	431930.0	-	transcriptional regulator	hypothetical protein	Transcription	A0A0U2WSS9	NC_007181.1
SACI_RS02515	Saci_0524	Saci_0524	Sacid_00517		431941.0	432504.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HB79	NC_007181.1
SACI_RS02520	Saci_0525	Saci_0525	Sacid_00518		432501.0	433196.0	-	SagB family peptide dehydrogenase	hypothetical protein	Energy production and conversion	A0A0U3FJS8	NC_007181.1
SACI_RS02525	Saci_0526	Saci_0526	Sacid_00519		433208.0	434512.0	-	YcaO-like family protein	hypothetical protein	Coenzyme transport and metabolism	A0A0U3H321	NC_007181.1
SACI_RS02530	Saci_0527	Saci_0527	Sacid_00520		434491.0	435201.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2X2Y8	NC_007181.1
SACI_RS02535	Saci_0529	Saci_0529	Sacid_00521		435514.0	436092.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GP98	NC_007181.1
SACI_RS02540	Saci_0530	Saci_0530	Sacid_00522		436289.0	437026.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3H2J6	NC_007181.1
SACI_RS02545	ecfA3	Saci_0531	Sacid_00523		437017.0	437649.0	+	ATP-binding cassette domain-containing protein	Energy-coupling factor transporter ATP-binding protein EcfA3	Inorganic ion transport and metabolism	A0A0U3FMY9	NC_007181.1
SACI_RS02550	Saci_0532	Saci_0532	Sacid_00524		438205.0	438699.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FX76	NC_007181.1
SACI_RS02555	Saci_0533	Saci_0533			438773.0	439246.0	+	hypothetical protein		No COG annotation	A0A0U2X0B1	NC_007181.1
SACI_RS02560	pqqE_1	Saci_0535	Sacid_00526		439307.0	439906.0	-	radical SAM protein	PqqA peptide cyclase	Function unknown	A0A0U3FFP4	NC_007181.1
SACI_RS11540	SACI_RS11540				440182.0	440412.0	+	hypothetical protein		Function unknown		NC_007181.1
SACI_RS02570	Saci_0538	Saci_0538	Sacid_00528		440555.0	440959.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3F7L4	NC_007181.1
SACI_RS02575	mtnA	Saci_0539	Sacid_00529		441021.0	442124.0	-	S-methyl-5-thioribose-1-phosphate isomerase	Methylthioribose-1-phosphate isomerase	"Translation, ribosomal structure and biogenesis"	UPI00005522E0	NC_007181.1
SACI_RS11800	SACI_RS11800				442246.0	442317.0	-	hypothetical protein		No COG annotation		NC_007181.1
SACI_RS11805	SACI_RS11805		Sacid_00531		442342.0	442446.0	-	putative integrase	hypothetical protein	No COG annotation	UPI0002B2A397	NC_007181.1
SACI_RS02585	Saci_0542	Saci_0542	Sacid_00532		442601.0	443578.0	-	phosphoesterase	hypothetical protein	Function unknown	A0A0U3FVT8	NC_007181.1
SACI_RS02590	rutB	Saci_0543	Sacid_00533		443595.0	444197.0	-	cysteine hydrolase	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB	"Secondary metabolites biosynthesis, transport, and catabolism"	A0A0U2NF55	NC_007181.1
SACI_RS02595	nfi	Saci_0544	Sacid_00534		444223.0	444813.0	-	endonuclease V	Endonuclease V	"Replication, recombination and repair"	A0A0U3GVS3	NC_007181.1
SACI_RS02600	ptp	Saci_0545	Sacid_00535	saci_ptp	444798.0	445265.0	-	dual specificity protein phosphatase (phospho Tyr phosphatase)	hypothetical protein	Signal transduction mechanisms	A0A0U3FN28	NC_007181.1
SACI_RS02605	kaiC	Saci_0546	Sacid_00536		445336.0	446121.0	+	KaiC domain-containing protein	Circadian clock protein kinase KaiC	Signal transduction mechanisms	A0A0U2VVJ0	NC_007181.1
SACI_RS02610	nadC	Saci_0547	Sacid_00537		446113.0	446949.0	-	carboxylating nicotinate-nucleotide diphosphorylase	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	Coenzyme transport and metabolism	A0A0U3GT45	NC_007181.1
SACI_RS02615	guaA_2	Saci_0548	Sacid_00538		446949.0	447515.0	-	GMP synthase subunit A	GMP synthase [glutamine-hydrolyzing]	Nucleotide transport and metabolism	A0A0U2WSR9	NC_007181.1
SACI_RS02620	nadB	Saci_0549	Sacid_00539		447582.0	449033.0	+	FAD-binding protein	L-aspartate oxidase	Coenzyme transport and metabolism	A0A0U3HB63	NC_007181.1
SACI_RS02625	nudL	Saci_0550	Sacid_00540		449020.0	449487.0	+	NUDIX domain-containing protein	putative Nudix hydrolase NudL	"Replication, recombination and repair"	A0A0U3H2F5	NC_007181.1
SACI_RS02630	ruvB_1	Saci_0552	Sacid_00541		449509.0	450867.0	-	RuvB-like helicase	Holliday junction ATP-dependent DNA helicase RuvB	Transcription	A0A0U3GNI8	NC_007181.1
SACI_RS02635	pfkB	Saci_0553	Sacid_00542		450973.0	451836.0	+	carbohydrate kinase family protein	ATP-dependent 6-phosphofructokinase	Carbohydrate transport and metabolism	A0A0U2W477	NC_007181.1
SACI_RS02640	dinB	Saci_0554	Sacid_00543		451833.0	452897.0	+	DNA polymerase IV	DNA polymerase IV	"Replication, recombination and repair"	A0A0U3FX65	NC_007181.1
SACI_RS02645	Saci_0555	Saci_0555	Sacid_00544		452874.0	453314.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HE78	NC_007181.1
SACI_RS02650	rtcA	Saci_0556	Sacid_00545		453329.0	454336.0	+	RNA 3'-terminal phosphate cyclase	RNA 3'-terminal phosphate cyclase	"Translation, ribosomal structure and biogenesis"	A0A0U3FFM3	NC_007181.1
SACI_RS02655	adh_1	Saci_0557	Sacid_00546		454323.0	455327.0	-	alcohol dehydrogenase catalytic domain-containing protein	Alcohol dehydrogenase	Energy production and conversion	A0A0U3F7J8	NC_007181.1
SACI_RS02660	glnA_2	Saci_0558	Sacid_00547		455333.0	456616.0	-	glutamine synthetase	Glutamate--methylamine ligase	Amino acid transport and metabolism	A0A0U3HA49	NC_007181.1
SACI_RS02665	Saci_0559	Saci_0559	Sacid_00548		456672.0	457448.0	-	class I SAM-dependent methyltransferase family protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GKA0	NC_007181.1
SACI_RS02670	dadD	Saci_0560	Sacid_00549		457402.0	458550.0	-	amidohydrolase	5'-deoxyadenosine deaminase	Nucleotide transport and metabolism	A0A0U2NF24	NC_007181.1
SACI_RS02685	Saci_0564	Saci_0564	Sacid_00550		459116.0	459649.0	+	archaemetzincin family Zn-dependent metalloprotease	hypothetical protein	"Post-translational modification, protein turnover,and chaperones"	A0A0U3H3D1	NC_007181.1
SACI_RS02690	Saci_0565	Saci_0565	Sacid_00551		459626.0	460045.0	-	archease	Protein archease	"Translation, ribosomal structure and biogenesis"	A0A0U3GVQ8	NC_007181.1
SACI_RS11810	cedA2	Saci_0567	Sacid_00553		460159.0	460317.0	-	DNA import protein CedA2	hypothetical protein	No COG annotation	UPI00005522F4	NC_007181.1
SACI_RS02695	cedA	Saci_0568	Sacid_00554		460333.0	461115.0	-	DNA import protein CedA	hypothetical protein	No COG annotation	A0A0U3GG40	NC_007181.1
SACI_RS02700	cedA1	Saci_0569	Sacid_00555		461116.0	461352.0	-	DNA import protein CedA1	hypothetical protein	No COG annotation	A0A0U3GT29	NC_007181.1
SACI_RS02705	cmk	Saci_0570	Sacid_00556		461381.0	461929.0	-	AAA family ATPase	Cytidylate kinase	Nucleotide transport and metabolism	A0A0U3FNU0	NC_007181.1
SACI_RS02710	Saci_0571	Saci_0571	Sacid_00557		461926.0	462189.0	-	50S ribosomal protein L34e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2WSP2	NC_007181.1
SACI_RS02715	SACI_RS02715		Sacid_00558		462212.0	462646.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2Y0M7	NC_007181.1
SACI_RS02720	Saci_0573	Saci_0573	Sacid_00559		462661.0	463245.0	-	adenylate kinase	hypothetical protein	Nucleotide transport and metabolism	A0A0U3GNI1	NC_007181.1
SACI_RS02725	secY	Saci_0574	Sacid_00560		463249.0	464640.0	-	preprotein translocase subunit SecY	Protein translocase subunit SecY	Signal transduction mechanisms	A0A0U3H2G4	NC_007181.1
SACI_RS02730	Saci_0575	Saci_0575	Sacid_00561		464657.0	465091.0	-	50S ribosomal protein L15	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FX46	NC_007181.1
SACI_RS02735	Saci_0576	Saci_0576	Sacid_00562		465093.0	465563.0	-	50S ribosomal protein L30	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2N9J5	NC_007181.1
SACI_RS02740	Saci_0577	Saci_0577	Sacid_00563		465560.0	466219.0	-	30S ribosomal protein S5	hypothetical protein	"Translation, ribosomal structure and biogenesis"	UPI0002B279CA	NC_007181.1
SACI_RS02745	Saci_0578	Saci_0578	Sacid_00564		466206.0	466799.0	-	50S ribosomal protein L18	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2Y8F3	NC_007181.1
SACI_RS02750	Saci_0579	Saci_0579	Sacid_00565		466803.0	467255.0	-	50S ribosomal protein L19e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GQH7	NC_007181.1
SACI_RS02755	Saci_0580	Saci_0580	Sacid_00566		467261.0	467656.0	-	50S ribosomal protein L32e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HA64	NC_007181.1
SACI_RS02760	Saci_0581	Saci_0581	Sacid_00567		467640.0	468200.0	-	50S ribosomal protein L6	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HA32	NC_007181.1
SACI_RS02765	rpsH	Saci_0582	Sacid_00568		468215.0	468616.0	-	30S ribosomal protein S8	30S ribosomal protein S8	"Translation, ribosomal structure and biogenesis"	UPI0000135180	NC_007181.1
SACI_RS11545	Saci_0583	Saci_0583			468623.0	468787.0	-	30S ribosomal protein S14		"Translation, ribosomal structure and biogenesis"	UPI000058E44C	NC_007181.1
SACI_RS02770	Saci_0584	Saci_0584	Sacid_00570		468792.0	469328.0	-	50S ribosomal protein L5	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FVR5	NC_007181.1
SACI_RS02775	Saci_0585	Saci_0585	Sacid_00571		469325.0	470059.0	-	30S ribosomal protein S4e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2NF17	NC_007181.1
SACI_RS02780	Saci_0586	Saci_0586	Sacid_00572		470061.0	470465.0	-	50S ribosomal protein L24	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GVN2	NC_007181.1
SACI_RS02785	rplN	Saci_0587	Sacid_00573		470467.0	470883.0	-	50S ribosomal protein L14	50S ribosomal protein L14	"Translation, ribosomal structure and biogenesis"	A0A0U3FN07	NC_007181.1
SACI_RS02790	Saci_0588	Saci_0588	Sacid_00574		470885.0	471229.0	-	30S ribosomal protein S17	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2VVE8	NC_007181.1
SACI_RS02795	Saci_0589	Saci_0589	Sacid_00575		471222.0	471461.0	-	ribonuclease P protein subunit	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FNS5	NC_007181.1
SACI_RS02800	rpmC	Saci_0590	Sacid_00576		471463.0	471672.0	-	50S ribosomal protein L29	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GU52	NC_007181.1
SACI_RS02805	Saci_0591	Saci_0591	Sacid_00577		471656.0	472351.0	-	30S ribosomal protein S3	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HB28	NC_007181.1
SACI_RS02810	Saci_0592	Saci_0592	Sacid_00578		472355.0	472825.0	-	50S ribosomal protein L22	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3H2X5	NC_007181.1
SACI_RS02815	Saci_0593	Saci_0593	Sacid_00579		472829.0	473251.0	-	30S ribosomal protein S19	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GNF8	NC_007181.1
SACI_RS02820	Saci_0594	Saci_0594	Sacid_00580		473298.0	474014.0	-	50S ribosomal protein L2	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FMU9	NC_007181.1
SACI_RS02825	Saci_0595	Saci_0595	Sacid_00581		474026.0	474274.0	-	50S ribosomal protein L23	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2N9I7	NC_007181.1
SACI_RS02830	Saci_0596	Saci_0596	Sacid_00582		474271.0	475071.0	-	50S ribosomal protein L4	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HE46	NC_007181.1
SACI_RS02835	rpl3p	Saci_0597	Sacid_00583		475075.0	476103.0	-	50S ribosomal protein L3	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FFJ3	NC_007181.1
SACI_RS02840	Saci_0598	Saci_0598	Sacid_00584		476159.0	476911.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U3F7G5	NC_007181.1
SACI_RS02845	ileS	Saci_0599	Sacid_00585		476895.0	480047.0	-	isoleucine--tRNA ligase	Isoleucine--tRNA ligase	"Translation, ribosomal structure and biogenesis"	A0A0U3GK72	NC_007181.1
SACI_RS02850	hicd	Saci_0600	Sacid_00586		480116.0	481129.0	-	isocitrate/isopropylmalate dehydrogenase family protein	Homoisocitrate dehydrogenase	Energy production and conversion	A0A0U3GL50	NC_007181.1
SACI_RS02855	Saci_0601	Saci_0601	Sacid_00587		481139.0	481741.0	-	DUF447 family protein	hypothetical protein	Function unknown	A0A0U2NF06	NC_007181.1
SACI_RS02860	yjjG	Saci_0602	Sacid_00588		481827.0	482549.0	-	HAD family hydrolase	Pyrimidine 5'-nucleotidase YjjG	Function unknown	A0A0U3GVL8	NC_007181.1
SACI_RS02865	fusA	Saci_0603	Sacid_00589		482557.0	484770.0	-	elongation factor EF-2	Elongation factor G	"Translation, ribosomal structure and biogenesis"	A0A0U3FMZ4	NC_007181.1
SACI_RS02870	Saci_0604	Saci_0604	Sacid_00590		484969.0	485679.0	-	multidrug MFS transporter	hypothetical protein	"Replication, recombination and repair"	A0A0U2VVC9	NC_007181.1
SACI_RS02875	pfdB	Saci_0605	Sacid_00591		485705.0	486082.0	-	prefoldin subunit beta	hypothetical protein	"Post-translational modification, protein turnover,and chaperones"	A0A0U3GSZ8	NC_007181.1
SACI_RS02880	Saci_0606	Saci_0606	Sacid_00592		486079.0	486312.0	-	hypothetical protein	hypothetical protein	Function unknown	A0A0U2WSL2	NC_007181.1
SACI_RS02885	Saci_0607	Saci_0607	Sacid_00593		486290.0	486811.0	-	Brix domain-containing protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GZL6	NC_007181.1
SACI_RS02890	Saci_0608	Saci_0608	Sacid_00594		486819.0	487031.0	-	50S ribosomal protein L37ae	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2Y0I6	NC_007181.1
SACI_RS02895	rph_1	Saci_0609	Sacid_00595		487042.0	487872.0	-	exosome complex protein Rrp42	Ribonuclease PH	"Translation, ribosomal structure and biogenesis"	A0A0U3H2W0	NC_007181.1
SACI_RS02900	rph_2	Saci_0610	Sacid_00596		487876.0	488607.0	-	exosome complex exonuclease Rrp41	Ribonuclease PH	"Translation, ribosomal structure and biogenesis"	A0A0U3GNE4	NC_007181.1
SACI_RS02905	Saci_0611	Saci_0611	Sacid_00597		488573.0	489322.0	-	RNA-binding protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2W436	NC_007181.1
SACI_RS02910	Saci_0612	Saci_0612	Sacid_00598		489324.0	490025.0	-	ribosome assembly factor SBDS	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3FX20	NC_007181.1
SACI_RS02915	prcA	Saci_0613	Sacid_00599	psmA	490043.0	490771.0	-	archaeal proteasome endopeptidase complex subunit alpha	Proteasome subunit alpha	"Post-translational modification, protein turnover,and chaperones"	A0A0U3GK31	NC_007181.1
SACI_RS02920	Saci_0614	Saci_0614	Sacid_00600		490869.0	491291.0	-	ribonuclease P	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HE34	NC_007181.1
SACI_RS02925	Saci_0615	Saci_0615	Sacid_00601		491288.0	491839.0	-	RNase P p30-like protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2Y8B9	NC_007181.1
SACI_RS02930	Saci_0616	Saci_0616	Sacid_00602		491814.0	492248.0	-	hypothetical protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HA35	NC_007181.1
SACI_RS02935	Saci_0617	Saci_0617	Sacid_00603		492245.0	492898.0	-	50S ribosomal protein L15e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3GK55	NC_007181.1
SACI_RS02940	OLA1	Saci_0618	Sacid_00604		492962.0	494164.0	+	redox-regulated ATPase YchF	Obg-like ATPase 1	"Translation, ribosomal structure and biogenesis"	A0A0U3GL34	NC_007181.1
SACI_RS02945	glmU_1	Saci_0619	Sacid_00605		494154.0	495371.0	-	NTP transferase domain-containing protein	Bifunctional protein GlmU	Cell wall/membrane/envelope biogenesis	A0A0U2NEZ3	NC_007181.1
SACI_RS02950	Saci_0620	Saci_0620	Sacid_00606		495383.0	495976.0	-	30S ribosomal protein S3ae	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3HLJ7	NC_007181.1
SACI_RS02955	trmL	Saci_0621	Sacid_00607		496001.0	496708.0	-	RNA methyltransferase	tRNA (cytidine(34)-2'-O)-methyltransferase	"Translation, ribosomal structure and biogenesis"	A0A0U3GG23	NC_007181.1
SACI_RS02960	prmC	Saci_0622	Sacid_00608		496683.0	497285.0	-	methyltransferase	Release factor glutamine methyltransferase	"Translation, ribosomal structure and biogenesis"	A0A0U3FF22	NC_007181.1
SACI_RS02965	rsmA	Saci_0623	Sacid_00609		497237.0	497905.0	-	16S ribosomal RNA methyltransferase A	Ribosomal RNA small subunit methyltransferase A	"Translation, ribosomal structure and biogenesis"	A0A0U3GSY3	NC_007181.1
SACI_RS02970	Saci_0624	Saci_0624	Sacid_00610		497902.0	498528.0	-	DUF655 domain-containing protein	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U2WSK0	NC_007181.1
SACI_RS02975	Saci_0625	Saci_0625	Sacid_00611		498566.0	498910.0	-	DNA-directed RNA polymerase subunit F	hypothetical protein	Transcription	A0A0U2Y0G8	NC_007181.1
SACI_RS02980	Saci_0626	Saci_0626	Sacid_00612		498931.0	499242.0	-	50S ribosomal protein L21e	hypothetical protein	"Translation, ribosomal structure and biogenesis"	A0A0U3H2T8	NC_007181.1
SACI_RS11550	SACI_RS11550				499472.0	499701.0	-	integrase		Function unknown		NC_007181.1
SACI_RS11555	SACI_RS11555				499991.0	500131.0	+	putative integrase		No COG annotation	UPI0011BFB8BC	NC_007181.1
SACI_RS02995	Saci_0630	Saci_0630	Sacid_00614		500217.0	501218.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3GNC8	NC_007181.1
SACI_RS03000	Saci_0631	Saci_0631	Sacid_00615		501453.0	501749.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FQX1	NC_007181.1
SACI_RS03005	Saci_0632	Saci_0632	Sacid_00616		501780.0	502556.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U2W422	NC_007181.1
SACI_RS03010	Saci_0633	Saci_0633	Sacid_00617		502540.0	504141.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3FMQ9	NC_007181.1
SACI_RS03015	tnpR	Saci_0634	Sacid_00618		504559.0	505209.0	+	recombinase family protein	Transposon Tn3 resolvase	"Replication, recombination and repair"	A0A0U2X034	NC_007181.1
SACI_RS03020	Saci_0635	Saci_0635	Sacid_00619		505247.0	505558.0	-	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HE18	NC_007181.1
SACI_RS03025	Saci_0636	Saci_0636	Sacid_00620		505871.0	506143.0	+	hypothetical protein	hypothetical protein	No COG annotation	A0A0U3HA21	NC_007181.1
